Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-26T09:33:00-04:00,6/26/2024 09:33,65.1,65.1,59.1,13.6,19.9,295,0,0,29.69,81,29.69,4.6
2024-06-26T09:48:00-04:00,6/26/2024 09:48,65.3,65.3,59.7,13.2,18.6,296,0,0,29.69,82,29.69,
2024-06-26T10:03:00-04:00,6/26/2024 10:03,65.5,65.5,59.5,13.4,22.8,295,0,0,29.69,81,29.69,
2024-06-26T10:18:00-04:00,6/26/2024 10:18,66,66,59.6,12.8,20.4,301,0,0,29.69,80,29.69,
2024-06-26T10:33:00-04:00,6/26/2024 10:33,66.7,66.7,59.3,14.3,21.5,299,0,0,29.69,77,29.69,4.72
2024-06-26T10:48:00-04:00,6/26/2024 10:48,66.7,66.7,60,14.5,19.9,299,0,0,29.69,79,29.69,
2024-06-26T11:03:00-04:00,6/26/2024 11:03,66.4,66.4,59.7,13.9,21,303,0,0,29.69,79,29.69,
2024-06-26T11:18:00-04:00,6/26/2024 11:18,66.6,66.6,59.9,14.3,23.9,298,0,0,29.69,79,29.69,
2024-06-26T11:33:00-04:00,6/26/2024 11:33,66.9,66.9,59.8,13.6,19.5,294,0,0,29.68,78,29.68,4.72
2024-06-26T11:48:00-04:00,6/26/2024 11:48,68,68,60.1,13.6,20.1,294,0,0,29.68,76,29.68,
2024-06-26T12:03:00-04:00,6/26/2024 12:03,68.5,68.6,60.6,14.1,18.8,291,0,0,29.67,76,29.67,
2024-06-26T12:18:00-04:00,6/26/2024 12:18,68.7,68.8,60.8,14.1,17.9,300,0,0,29.68,76,29.68,
2024-06-26T12:33:00-04:00,6/26/2024 12:33,68.5,68.7,61,13.4,17,296,0,0,29.68,77,29.68,4.71
2024-06-26T12:48:00-04:00,6/26/2024 12:48,68,68,60.9,13,18.8,299,0,0,29.68,78,29.68,
2024-06-26T13:03:00-04:00,6/26/2024 13:03,67.8,67.8,61,12.8,19.7,294,0,0,29.67,79,29.67,
2024-06-26T13:18:00-04:00,6/26/2024 13:18,68.2,68.4,61.4,13.2,19.9,298,0,0,29.67,79,29.67,
2024-06-26T13:33:00-04:00,6/26/2024 13:33,68.4,68.7,61.6,15,21.9,298,0,0,29.66,79,29.66,4.7
