"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-30 05:55:00,104.481776765376,1.5650266618222,18.6099544937429,17.1250853242321,1014.58030716724,8953.92141069397
2023-06-30 06:00:00,104.635535307517,1.56458275280381,18.6122298065984,17.1267918088737,1014.57895904437,8955.7522923777
2023-06-30 06:05:00,104.643874643875,1.5641385574637,18.6131474103586,17.1274331246443,1014.57993170176,8954.43774615822
2023-06-30 06:10:00,104.621082621083,1.56369377459717,18.6159931701764,17.129140580535,1014.57838929994,8959.93351166762
2023-06-30 06:15:00,104.621082621083,1.56324899173064,18.6159931701764,17.129140580535,1014.57838929994,8959.93351166762
2023-06-30 06:20:00,104.581196581197,1.5628042088641,18.6188389299943,17.1308480364257,1014.57684689812,8966.34524188958
2023-06-30 06:25:00,104.552706552707,1.56235942599757,18.6216846898122,17.1325554923164,1014.57549800797,8971.84100739898
2023-06-30 06:30:00,104.572405929304,1.56191494434095,18.6226082004556,17.1332004555809,1014.57666287016,8970.53487471526
2023-06-30 06:35:00,104.703534777651,1.5614698749853,18.6254555808656,17.1349088838269,1014.57531321185,8973.28432232346
2023-06-30 06:40:00,104.663625997719,1.56102480562965,18.6283029612756,17.1366173120729,1014.57396355353,8976.95025626424
2023-06-30 06:45:00,104.60661345496,1.56057969706261,18.6311503416857,17.1383257403189,1014.57261389522,8980.61619020501
2023-06-30 06:50:00,104.547008547009,1.56013488971052,18.6330677290837,17.1393853158793,1014.57029595902,8984.66446784291
2023-06-30 06:55:00,104.507122507123,1.55969008235843,18.6359134889015,17.1410927717701,1014.5687535572,8988.32831531019
2023-06-30 07:00:00,104.467236467236,1.55924582286966,18.639328400683,17.1433693796244,1014.56721115538,8991.99216277746
2023-06-30 07:05:00,104.421652421652,1.55880186494669,18.6427433124644,17.1450768355151,1014.56566875356,8994.74004553216
2023-06-30 07:10:00,104.441277080958,1.55835790702372,18.6436788154897,17.145728929385,1014.56663439636,8992.53047266515
2023-06-30 07:15:00,104.401368301026,1.55791309967163,18.6470956719818,17.147437357631,1014.56528473804,8995.27992027335
2023-06-30 07:20:00,104.361459521095,1.55746829231955,18.6505125284738,17.149715261959,1014.56374145786,9000.77881548975
2023-06-30 07:25:00,104.3696520251,1.55702348496746,18.651452991453,17.1503703703704,1014.56470655271,9003.61495156695
2023-06-30 07:30:00,104.312606959498,1.55657867761537,18.6548717948718,17.1526495726496,1014.56316239316,9010.95099145299
2023-06-30 07:35:00,104.449515116942,1.55613387026328,18.6582905982906,17.1549287749288,1014.56161823362,9018.28703133903
2023-06-30 07:40:00,104.452054794521,1.55568847520494,18.6591220068415,17.1555302166477,1014.56258266819,9022.05229190422
2023-06-30 07:45:00,104.571917808219,1.5552422304512,18.6625427594071,17.1572405929304,1014.56103762828,9029.39251425314
2023-06-30 07:50:00,104.708904109589,1.55479653435074,18.6659635119726,17.1589509692132,1014.55949258837,9036.73273660205
2023-06-30 07:55:00,104.72301541976,1.55435025071683,18.6669138619509,17.1596120935539,1014.56045636052,9040.05164289789
2023-06-30 08:00:00,104.842946887493,1.55390337954949,18.6703365658871,17.161323445522,1014.55891043925,9047.39605248146
